epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,449.777,0.89709,0.45646,0.80873,0,0,0,0,0,0,0,0.00063125,0.00063125,0.00063125
52,458.521,0.90466,0.45945,0.80907,0,0,0,0,0,0,0,0.000618875,0.000618875,0.000618875
53,467.256,0.87352,0.44544,0.80657,0,0,0,0,0,0,0,0.0006065,0.0006065,0.0006065
54,476.03,0.85675,0.4353,0.80149,0,0,0,0,0,0,0,0.000594125,0.000594125,0.000594125
55,484.892,0.83843,0.42567,0.80557,0,0,0,0,0,0,0,0.00058175,0.00058175,0.00058175
56,494.58,0.84642,0.42422,0.80318,0,0,0,0,0,0,0,0.000569375,0.000569375,0.000569375
57,503.336,0.84877,0.43075,0.8033,0,0,0,0,0,0,0,0.000557,0.000557,0.000557
58,512.096,0.87669,0.44567,0.80607,0,0,0,0,0,0,0,0.000544625,0.000544625,0.000544625
59,520.904,0.88832,0.44823,0.80688,0,0,0,0,0,0,0,0.00053225,0.00053225,0.00053225
60,529.73,0.85359,0.432,0.80331,0,0,0,0,0,0,0,0.000519875,0.000519875,0.000519875
61,538.551,0.83585,0.42746,0.80584,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
62,547.339,0.84553,0.43009,0.80394,0,0,0,0,0,0,0,0.000495125,0.000495125,0.000495125
63,556.067,0.86236,0.43864,0.80434,0,0,0,0,0,0,0,0.00048275,0.00048275,0.00048275
64,564.901,0.83122,0.42462,0.80311,0,0,0,0,0,0,0,0.000470375,0.000470375,0.000470375
65,573.738,0.85473,0.42879,0.80533,0,0,0,0,0,0,0,0.000458,0.000458,0.000458
66,582.594,0.83156,0.42363,0.80079,0,0,0,0,0,0,0,0.000445625,0.000445625,0.000445625
67,591.375,0.82882,0.41281,0.80501,0,0,0,0,0,0,0,0.00043325,0.00043325,0.00043325
68,600.156,0.8028,0.40923,0.79983,0,0,0,0,0,0,0,0.000420875,0.000420875,0.000420875
69,608.999,0.80852,0.40372,0.80292,0,0,0,0,0,0,0,0.0004085,0.0004085,0.0004085
70,617.713,0.8085,0.40404,0.79848,0,0,0,0,0,0,0,0.000396125,0.000396125,0.000396125
71,627.149,0.82166,0.42087,0.79858,0,0,0,0,0,0,0,0.00038375,0.00038375,0.00038375
72,635.916,0.80229,0.40896,0.79838,0,0,0,0,0,0,0,0.000371375,0.000371375,0.000371375
73,644.624,0.78706,0.39923,0.79944,0,0,0,0,0,0,0,0.000359,0.000359,0.000359
74,653.422,0.80952,0.40431,0.79998,0,0,0,0,0,0,0,0.000346625,0.000346625,0.000346625
75,662.215,0.79553,0.39953,0.7985,0,0,0,0,0,0,0,0.00033425,0.00033425,0.00033425
76,671.043,0.80567,0.40335,0.79833,0,0,0,0,0,0,0,0.000321875,0.000321875,0.000321875
77,679.784,0.79071,0.3977,0.7972,0,0,0,0,0,0,0,0.0003095,0.0003095,0.0003095
78,688.626,0.79536,0.39613,0.79907,0,0,0,0,0,0,0,0.000297125,0.000297125,0.000297125
79,697.438,0.7859,0.39738,0.79452,0,0,0,0,0,0,0,0.00028475,0.00028475,0.00028475
80,706.127,0.76904,0.39234,0.7986,0,0,0,0,0,0,0,0.000272375,0.000272375,0.000272375
81,714.901,0.78241,0.39239,0.79519,0,0,0,0,0,0,0,0.00026,0.00026,0.00026
82,723.668,0.77515,0.38959,0.79917,0,0,0,0,0,0,0,0.000247625,0.000247625,0.000247625
83,732.395,0.7743,0.38864,0.79752,0,0,0,0,0,0,0,0.00023525,0.00023525,0.00023525
84,741.224,0.7628,0.38685,0.79371,0,0,0,0,0,0,0,0.000222875,0.000222875,0.000222875
85,750.058,0.76987,0.39031,0.79675,0,0,0,0,0,0,0,0.0002105,0.0002105,0.0002105
86,759.077,0.75055,0.37958,0.79484,0,0,0,0,0,0,0,0.000198125,0.000198125,0.000198125
87,767.946,0.7622,0.38135,0.79326,0,0,0,0,0,0,0,0.00018575,0.00018575,0.00018575
88,777.424,0.75135,0.37717,0.79404,0,0,0,0,0,0,0,0.000173375,0.000173375,0.000173375
89,786.256,0.75549,0.3759,0.79335,0,0,0,0,0,0,0,0.000161,0.000161,0.000161
90,795.9,0.74783,0.375,0.79469,0,0,0,0,0,0,0,0.000148625,0.000148625,0.000148625
91,806.379,0.72632,0.36637,0.78987,0,0,0,0,0,0,0,0.00013625,0.00013625,0.00013625
92,815.176,0.72132,0.35931,0.78901,0,0,0,0,0,0,0,0.000123875,0.000123875,0.000123875
93,823.977,0.70971,0.35758,0.78921,0,0,0,0,0,0,0,0.0001115,0.0001115,0.0001115
94,833.232,0.71711,0.35884,0.78979,0,0,0,0,0,0,0,9.9125e-05,9.9125e-05,9.9125e-05
95,841.925,0.70648,0.35522,0.78556,0,0,0,0,0,0,0,8.675e-05,8.675e-05,8.675e-05
96,850.64,0.70887,0.35367,0.78699,0,0,0,0,0,0,0,7.4375e-05,7.4375e-05,7.4375e-05
97,859.544,0.70786,0.34953,0.78606,0,0,0,0,0,0,0,6.2e-05,6.2e-05,6.2e-05
98,869.407,0.69826,0.35258,0.78565,0,0,0,0,0,0,0,4.9625e-05,4.9625e-05,4.9625e-05
99,878.118,0.69188,0.34709,0.78444,0,0,0,0,0,0,0,3.725e-05,3.725e-05,3.725e-05
100,891.473,0.69348,0.34581,0.78317,0.90828,0.78165,0.82828,0.5704,0.81041,0.39601,0.8036,2.4875e-05,2.4875e-05,2.4875e-05
